NAME,CIRCLE
Haryana,HR
Punjab,PB
Goa,MH
Chhattisgarh,MP
Kerala,KL
Daman and Diu,GJ
Kolkata,KO
Andaman and Nicobar,WB
Bihar,BR
Tamil Nadu,TN
Chandigarh,PB
Jammu and Kashmir,JK
Dadra and Nagar Haveli,GJ
Jharkhand,BR
Meghalaya,NE
Delhi,DL
Orissa,OR
Assam,AS
Madhya Pradesh,MP
Lakshadweep,KL
J&K Disp,JK
Rajasthan,RJ
Sikkim,NE
Manipur,NE
Andhra Pradesh,AP
Uttar Pradesh E,UPE
Himachal Pradesh,HP
Nagaland,NE
Gujarat,GJ
Arunachal Pradesh,NE
Maharashtra,MH
Tripura,NE
Puducherry,TN
Karnataka,KA
Uttaranchal,UPW
West Bengal,WB
Mizoram,NE
Uttar Pradesh W,UPW
Mumbai,MU
