CIRCLEDISPNAME,CIRCLECAT,AREADESC,CIRCLESHORTNAME
Andhra Pradesh,A,Entire area falling within the State of Andhra Pradesh.,AP
Assam,C,Entire area falling within the State of Assam.,AS
Bihar ,C,Entire area falling within the re-organised State of Bihar and newly created State of Jharkhand.,BR
Delhi Metro,Metro,"Local Areas served by Delhi, Ghaziabad, Faridabad, Noida, and Gurgaon Telephone Exchanges",DL
Gujarat ,A,"Entire area falling within the State of Gujarat and Union Territory of Daman and Diu, Silvassa (Dadra & Nagar Haveli).",GJ
Haryana ,B,Entire area falling within the State of Haryana except Pachkula town and the local areas served by Faridabad and Gurgaon Telephone exchanges.,HR
Himachal Pradesh,C,Entire area falling within the State of Himachal Pradesh,HP
Jammu & Kashmir ,C,Entire area falling within the State of Jammu & Kashmir including the autonomous council of Ladakh.,JK
Karnataka ,A,Entire area falling within the State of Karnataka,KA
Kerala ,B,Entire area falling within the State of Kerala and Union Territory of Lakshadeep and Minicoy.,KL
Kolkata Metro ,Metro,Local Areas served by Calcutta Telephones.,KO
Madhya Pradesh ,B,Entire area falling within the re-organised State of Madhya Pradesh as well as the newly created State of Chattisgarh.,MP
Maharashtra ,A,"Entire area falling within the State of Maharashtra and Union Territory of Goa, excluding areas covered by Mumbai Metro Service Area.",MH
Mumbai Metro ,Metro,"Local Areas served by Mumbai, New Mumbai and Kalyan Telephone Exchanges",MU
North East,C,"Entire area falling within the States of Arunachal Pradesh, Meghalaya, Mizoram, Nagaland, Manipur and Tripura.",NE
Orissa ,C,Entire area falling within the State of Orissa.,OR
Punjab ,B,Entire area falling within the State of Punjab and Union territory of Chandigarh and and Punchkula Town of Haryana.,PB
Rajasthan,B,Entire area falling within the State of Rajasthan.,RJ
Tami Nadu ,A,"Entire area falling within the State of Tamilnadu and Union Territory of Pondichery including Local Areas served by Chennai Telephones, Maraimalai Nagar Export Promotion Zone (MPEZ), Minzur and Mahabalipuram Exchanges",TN
Uttar Pradesh E,B,"Entire area covered by Eastern Uttar Pradesh with the following as its boundary districts towards Western Uttar Pradesh: Shahjahanpur, Farrukhabad, Kanpur and Jalaun.",UPE
Uttar Pradesh W,B,"Entire area covered by Western Uttar Pradesh with the following as its boundary districts towards Eastern Uttar Pradesh : Pilibhit, Bareilly, Badaun, Etah, Mainpuri and Etawah. It will exclude the local telephone area of Ghaziabad and Noida. However, it will also include the newly created State of Uttaranchal.",UPW
West Bengal,B,Entire area falling within the Union Territory of Andaman & Nicobar Islands and area falling within the State of West Bengal and the State of Sikkim excluding the areas covered by Kolkata Metro Service Area.,WB
