"2008-12-01","A"," A.P. "," Bharti Airtel ","1785560"
"2008-12-01","A"," A.P. "," IDEA Cellular Ltd. ","2195660"
"2008-12-01","A"," A.P. "," Vodafone Essar ","482431"
"2008-12-01","A"," A.P. ","Telewings ","0"
"2008-12-01","A"," Gujarat "," Aircel Limited ","0"
"2008-12-01","A"," Gujarat "," Bharti Airtel ","999017"
"2008-12-01","A"," Gujarat "," IDEA Cellular Ltd. ","1181970"
"2008-12-01","A"," Gujarat "," Vodafone Essar ","3380790"
"2008-12-01","A"," Gujarat ","Telewings ","0"
"2008-12-01","A"," Karnatka "," Bharti Airtel ","2295440"
"2008-12-01","A"," Karnatka "," IDEA Cellular Ltd. ","43938"
"2008-12-01","A"," Karnatka "," Vodafone Essar ","189238"
"2008-12-01","A"," Karnatka ","Telewings ","0"
"2008-12-01","A"," Maharashtra "," Aircel Limited ","0"
"2008-12-01","A"," Maharashtra "," Bharti Airtel ","1160100"
"2008-12-01","A"," Maharashtra "," IDEA Cellular Ltd. ","2240420"
"2008-12-01","A"," Maharashtra "," Vodafone Essar ","1865640"
"2008-12-01","A"," Maharashtra ","Telewings ","0"
"2008-12-01","A"," T.N. "," Aircel Limited ","2867670"
"2008-12-01","A"," T.N. "," Bharti Airtel ","1177910"
"2008-12-01","A"," T.N. "," IDEA Cellular Ltd. ","0"
"2008-12-01","A"," T.N. "," Vodafone Essar ","855151"
"2008-12-01","A"," T.N. ","Telewings ","0"
"2008-12-01","B"," A & N "," Bharti Airtel ","35350"
"2008-12-01","B"," A & N "," Vodafone  Essar ","6134"
"2008-12-01","B"," Chatisgarh "," Bharti Airtel ","289262"
"2008-12-01","B"," Chatisgarh "," IDEA Cellular Ltd. ","82900"
"2008-12-01","B"," Haryana "," Aircel Ltd ","0"
"2008-12-01","B"," Haryana "," Bharti Airtel ","329463"
"2008-12-01","B"," Haryana "," IDEA Cellular Ltd. ","549311"
"2008-12-01","B"," Haryana "," Vodafone Essar ","1090430"
"2008-12-01","B"," Haryana ","Telewings ","0"
"2008-12-01","B"," Kerala "," Aircel Ltd ","0"
"2008-12-01","B"," Kerala "," Bharti Airtel ","246437"
"2008-12-01","B"," Kerala "," IDEA Cellular Ltd. ","2494610"
"2008-12-01","B"," Kerala "," Vodafone Essar ","645078"
"2008-12-01","B"," Kerala ","Telewings ","0"
"2008-12-01","B"," M.P. "," Bharti Airtel ","1251820"
"2008-12-01","B"," M.P. "," IDEA Cellular Ltd. ","770950"
"2008-12-01","B"," M.P. "," Vodafone Essar ","0"
"2008-12-01","B"," M.P. ","Telewings ","0"
"2008-12-01","B"," Punjab "," Aircel Ltd ","0"
"2008-12-01","B"," Punjab "," Bharti Airtel ","1457510"
"2008-12-01","B"," Punjab "," IDEA Cellular Ltd. ","376422"
"2008-12-01","B"," Punjab "," Vodafone Essar ","261311"
"2008-12-01","B"," Punjab ","Telewings ","0"
