radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,404,45,1829,7243,,77.578303,12.903292,342,116,1,1341098391,1347359893,
GSM,404,45,1829,13382,,77.578449,12.903496,400,35,1,1341275841,1346468545,
GSM,404,10,122,14422,,77.07984,28.358989,20,5,1,1341345863,1341377067,-69
GSM,404,94,112,22772,,77.243876,11.498645,154,8,1,1341392785,1341392785,-68
GSM,404,45,1829,15791,,77.578518,12.903638,0,1,1,1341573511,1341573511,
GSM,404,19,417,59832,,76.048651,10.637726,55,4,1,1341678287,1341849760,
GSM,404,13,20026,23472,,78.38335,17.594134,0,1,1,1341724114,1341724114,-67
GSM,404,16,13,25132,,94.015475,24.624859,21,7,1,1341763655,1341763655,-76
GSM,404,16,13,25161,,94.015458,24.624831,0,1,1,1341763655,1341763655,-81
GSM,404,16,88,25741,,93.938644,24.792737,1,5,1,1341763689,1341763689,-69
GSM,404,16,88,25742,,93.938642,24.792737,0,3,1,1341763689,1341763689,-69
GSM,404,19,810,59391,,76.048426,10.637857,19,5,1,1341849760,1341849760,
GSM,404,19,352,35001,,76.047878,10.637393,26,4,1,1341849760,1341849760,
GSM,404,19,810,23353,,76.048472,10.637765,0,1,1,1341849760,1341849760,
GSM,404,19,810,28861,,76.048467,10.637702,0,1,1,1341849760,1341849760,
GSM,404,19,417,35162,,76.048511,10.637848,8,2,1,1341849760,1341849760,
GSM,404,19,417,35932,,76.048407,10.637917,0,1,1,1341849760,1341849760,
GSM,404,22,10087,661,,76.431498,17.823495,0,1,1,1342183992,1342183992,-67
GSM,404,45,5,2963,,77.582133,12.92839,6554,390,1,1342188894,1431998536,-65
GSM,404,20,21003,31583,,72.866889,19.23594,72,16,1,1342191582,1342191582,
GSM,404,20,21003,36642,,72.867037,19.235968,0,1,1,1342191582,1342191582,
GSM,404,20,21002,31602,,72.866201,19.234963,71,5,1,1342191582,1342191582,
GSM,404,20,26012,33821,,72.864636,19.234591,185,10,1,1342191582,1342191582,
GSM,404,20,21002,31604,,72.864043,19.236551,32,2,1,1342191582,1342191582,
GSM,404,20,26012,33823,,72.864386,19.23819,137,7,1,1342191582,1342191582,
GSM,404,20,21002,31601,,72.864612,19.239917,30,2,1,1342191582,1342191582,
GSM,404,20,21003,1611,,72.864822,19.241188,88,5,1,1342191582,1342191582,
GSM,404,20,21003,34862,,72.865426,19.240796,2727,12,1,1342191582,1432173157,
GSM,404,20,21003,34861,,72.864193,19.24535,1605,18,1,1342191582,1434046954,
GSM,404,20,21010,35761,,72.861447,19.2457,94,6,1,1342191582,1342191582,
GSM,404,20,21010,35763,,72.861417,19.246563,65,4,1,1342191582,1342191582,
GSM,404,20,21010,33752,,72.862039,19.247684,59,3,1,1342191582,1342191582,
GSM,404,20,21010,33751,,72.867593,19.253504,1134,142,1,1342191582,1342191587,
GSM,404,20,21002,31192,,72.864927,19.25298,101,6,1,1342191587,1342191587,
GSM,404,20,21002,31191,,72.865361,19.254238,100,8,1,1342191587,1342191587,
GSM,404,20,21002,31193,,72.864457,19.25527,110,7,1,1342191587,1342191587,
GSM,404,20,21002,34123,,72.864279,19.257398,153,7,1,1342191587,1342191587,
GSM,404,20,21010,1321,,72.862086,19.257997,77,3,1,1342191587,1342191587,
GSM,404,20,21010,1323,,72.860162,19.258168,71,3,1,1342191587,1342191594,
GSM,404,20,21010,36771,,72.858773,19.258275,34,2,1,1342191594,1342191594,
GSM,404,20,21010,36773,,72.856404,19.258485,172,5,1,1342191594,1342191594,
GSM,404,20,21010,35422,,72.852885,19.258,156,7,1,1342191594,1342191594,
GSM,404,20,21010,32832,,72.850021,19.256056,234,9,1,1342191594,1342191594,
GSM,404,20,21010,32833,,72.846925,19.252373,255,8,1,1342191594,1342191594,
GSM,404,20,21002,36683,,72.845541,19.248006,272,9,1,1342191594,1342191594,
GSM,404,20,21002,32373,,72.845395,19.244328,153,7,1,1342191594,1342191594,
GSM,404,20,21002,32131,,72.844429,19.241495,131,6,1,1342191594,1342191594,
GSM,404,20,21002,32133,,72.840836,19.236879,469,17,1,1342191594,1377424782,
GSM,404,20,21002,32451,,72.841418,19.234861,296,3,1,1342191594,1367748389,
GSM,404,20,21002,30221,,72.840758,19.232386,101,4,1,1342191594,1342191594,
GSM,404,20,21002,30224,,72.840866,19.231031,40,3,1,1342191594,1342191594,
GSM,404,20,21002,30223,,72.841069,19.230346,43,5,1,1342191594,1342191594,
GSM,404,20,21002,32113,,72.842509,19.229731,135,6,1,1342191594,1342191594,
GSM,404,20,21002,32111,,72.844262,19.228698,179,9,1,1342191594,1430103460,
GSM,404,20,22001,31673,,72.844466,19.226254,202,4,1,1342191594,1430297839,
GSM,404,95,61100,30513,,76.902714,8.630083,2,2,1,1342284107,1342284141,-79
GSM,404,73,378,30678,,78.22384,14.422852,0,1,1,1342399538,1342399538,-73
GSM,404,30,544,50621,,88.387109,22.529952,18,5,1,1342427622,1342427622,-66
GSM,404,70,126,40541,,73.000078,26.274907,0,1,1,1342447733,1342447733,-59
GSM,404,45,1829,13251,,77.582589,12.903511,26632,129,1,1342621820,1431998539,-73
GSM,404,45,1829,7232,,77.586542,12.91072,164,24,1,1342621820,1239019586,-80
GSM,404,45,18291,7232,,77.584696,12.914854,1128,70,1,1342621820,1431998518,-80
GSM,404,45,18291,13251,,77.585406,12.909574,158,2,1,1342621820,1431998518,-87
